symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-05-09 00:00:00+00:00,35.28,35.57,34.99,35.42,8333411,34.6372935464,34.9220105285,34.3525765643,34.774743124,8333411,0.0,1.0
NVDA,2016-05-10 00:00:00+00:00,35.96,36.02,35.16,35.5,6741929,35.3049057803,35.3638127421,34.5194796228,34.8532857397,6741929,0.0,1.0
NVDA,2016-05-11 00:00:00+00:00,36.06,36.46,35.87,36.07,8204441,35.40308405,35.7957971288,35.2165453376,35.412901877,8204441,0.0,1.0
NVDA,2016-05-12 00:00:00+00:00,35.57,36.48,34.93,36.32,16763533,34.9220105285,35.8154327827,34.2936696025,35.6583475512,16763533,0.0,1.0
NVDA,2016-05-13 00:00:00+00:00,40.98,41.0,39.0,39.19,52756404,40.2334549187,40.2530905727,38.2895251789,38.4760638913,52756404,0.0,1.0
NVDA,2016-05-16 00:00:00+00:00,42.19,42.8,40.54,40.67,24325757,41.421411982,42.0202994271,39.8014705321,39.9291022827,24325757,0.0,1.0
NVDA,2016-05-17 00:00:00+00:00,42.28,42.58,41.4601,42.0,15709762,41.5097724247,41.8043072338,40.7048087915,41.2348732696,15709762,0.0,1.0
NVDA,2016-05-18 00:00:00+00:00,43.36,43.85,42.0,42.0,13526797,42.5700977373,43.0511712588,41.2348732696,41.2348732696,13526797,0.0,1.0
NVDA,2016-05-19 00:00:00+00:00,43.55,43.8586,43.13,43.19,9971981,42.7566364497,43.05961459,42.3442877171,42.4031946789,9971981,0.0,1.0
NVDA,2016-05-20 00:00:00+00:00,44.33,44.51,43.75,43.82,9777090,43.5224269533,43.6991478388,42.9529929891,43.0217177779,9777090,0.0,1.0
NVDA,2016-05-23 00:00:00+00:00,44.4,44.69,44.13,44.52,10340877,43.5911517421,43.8758687242,43.3260704139,43.7089656657,10340877,0.0,1.0
NVDA,2016-05-24 00:00:00+00:00,45.36,45.5,44.3,44.42,10394721,44.6465681413,44.7843661911,43.6032400498,43.7213526639,10394721,0.115,1.0
NVDA,2016-05-25 00:00:00+00:00,45.17,45.69,44.81,45.5,11469411,44.4595565022,44.9713778301,44.1052186598,44.7843661911,11469411,0.0,1.0
NVDA,2016-05-26 00:00:00+00:00,45.65,45.98,45.12,45.25,7749081,44.9320069588,45.2568166476,44.410342913,44.538298245,7749081,0.0,1.0
NVDA,2016-05-27 00:00:00+00:00,45.9,45.97,45.55,45.7,6935389,45.1780749049,45.2469739298,44.8335797803,44.981220548,6935389,0.0,1.0
NVDA,2016-05-31 00:00:00+00:00,46.72,46.815,46.07,46.1,10313131,45.9851777681,46.0786835876,45.3454011082,45.3749292617,10313131,0.0,1.0
NVDA,2016-06-01 00:00:00+00:00,46.81,47.26,46.36,46.5,9678267,46.0737622287,46.5166845317,45.6308399257,45.7686379755,9678267,0.0,1.0
NVDA,2016-06-02 00:00:00+00:00,47.14,47.54,46.6,47.06,8230202,46.3985719175,46.7922806313,45.8670651539,46.3198301748,8230202,0.0,1.0
NVDA,2016-06-03 00:00:00+00:00,46.48,46.74,45.66,46.68,11526864,45.7489525398,46.0048632038,44.9418496766,45.9458068967,11526864,0.0,1.0
NVDA,2016-06-06 00:00:00+00:00,46.24,46.96,46.0,46.6,8062841,45.5127273116,46.2214029963,45.2765020833,45.8670651539,8062841,0.0,1.0
NVDA,2016-06-07 00:00:00+00:00,46.33,46.78,46.31,46.52,4835017,45.6013117722,46.0442340751,45.5816263365,45.7883234112,4835017,0.0,1.0
NVDA,2016-06-08 00:00:00+00:00,46.18,46.51,45.8,46.34,5865431,45.4536710045,45.7784806934,45.0796477264,45.61115449,5865431,0.0,1.0
NVDA,2016-06-09 00:00:00+00:00,47.38,47.45,45.92,46.02,11804167,46.6347971458,46.7036961707,45.1977603405,45.296187519,11804167,0.0,1.0
NVDA,2016-06-10 00:00:00+00:00,46.2,47.24,46.14,46.82,10000592,45.4733564402,46.496999096,45.4143001331,46.0836049465,10000592,0.0,1.0
NVDA,2016-06-13 00:00:00+00:00,46.79,47.6986,46.25,46.25,11889674,46.054076793,46.9483861363,45.5225700294,45.5225700294,11889674,0.0,1.0
NVDA,2016-06-14 00:00:00+00:00,46.88,47.1,46.155,46.68,7458639,46.1426612536,46.3592010462,45.4290642099,45.9458068967,7458639,0.0,1.0
NVDA,2016-06-15 00:00:00+00:00,47.36,47.77,46.75,47.27,7525868,46.6151117101,47.0186631417,46.0147059216,46.5265272495,7525868,0.0,1.0
NVDA,2016-06-16 00:00:00+00:00,47.55,47.63,46.551,47.01,6161428,46.8021233491,46.8808650919,45.8188358365,46.2706165856,6161428,0.0,1.0
NVDA,2016-06-17 00:00:00+00:00,46.72,47.62,46.53,47.61,11775048,45.9851777681,46.8710223741,45.798166129,46.8611796562,11775048,0.0,1.0
NVDA,2016-06-20 00:00:00+00:00,47.56,48.17,47.44,47.47,7344230,46.811966067,47.4123718555,46.6938534529,46.7233816064,7344230,0.0,1.0
NVDA,2016-06-21 00:00:00+00:00,47.27,47.89,47.2,47.76,5312661,46.5265272495,47.1367757559,46.4576282246,47.0088204239,5312661,0.0,1.0
NVDA,2016-06-22 00:00:00+00:00,47.23,47.68,47.15,47.37,5065516,46.4871563781,46.9300786811,46.4084146354,46.624954428,5065516,0.0,1.0
NVDA,2016-06-23 00:00:00+00:00,48.49,48.54,47.65,47.68,7446994,47.7273388265,47.7765524157,46.9005505276,46.9300786811,7446994,0.0,1.0
NVDA,2016-06-24 00:00:00+00:00,45.73,47.36,45.3,46.5,25442111,45.0107487015,46.6151117101,44.5875118342,45.7686379755,25442111,0.0,1.0
NVDA,2016-06-27 00:00:00+00:00,45.24,45.7,44.57,45.35,11258487,44.5284555271,44.981220548,43.8689934316,44.6367254234,11258487,0.0,1.0
NVDA,2016-06-28 00:00:00+00:00,45.9,46.1499,45.27,46.1,9547980,45.1780749049,45.4240444238,44.5579836807,45.3749292617,9547980,0.0,1.0
NVDA,2016-06-29 00:00:00+00:00,46.65,47.01,46.18,46.3,7973264,45.9162787432,46.2706165856,45.4536710045,45.5717836186,7973264,0.0,1.0
NVDA,2016-06-30 00:00:00+00:00,47.01,47.3,46.35,46.73,10773475,46.2706165856,46.556055403,45.6209972078,45.9950204859,10773475,0.0,1.0
NVDA,2016-07-01 00:00:00+00:00,46.66,47.36,46.5,46.75,5462198,45.926121461,46.6151117101,45.7686379755,46.0147059216,5462198,0.0,1.0
NVDA,2016-07-05 00:00:00+00:00,47.35,47.43,46.03,46.4,9277061,46.6052689923,46.684010735,45.3060302368,45.6702107971,9277061,0.0,1.0
NVDA,2016-07-06 00:00:00+00:00,47.65,47.925,46.78,47.02,6827594,46.9005505276,47.1712252683,46.0442340751,46.2804593034,6827594,0.0,1.0
NVDA,2016-07-07 00:00:00+00:00,48.89,49.06,47.75,47.97,9884992,48.1210475403,48.2883737436,46.998977706,47.2155174986,9884992,0.0,1.0
NVDA,2016-07-08 00:00:00+00:00,50.85,51.091,49.22,49.41,12048273,50.0502202377,50.2874297378,48.4458572291,48.6328688682,12048273,0.0,1.0
NVDA,2016-07-11 00:00:00+00:00,52.02,52.4,51.52,51.58,11219437,51.2018182255,51.5758415036,50.7096823333,50.7687386404,11219437,0.0,1.0
NVDA,2016-07-12 00:00:00+00:00,52.8,53.28,51.94,52.6,10919045,51.9695502174,52.4420006739,51.1230764827,51.7726958605,10919045,0.0,1.0
